Geocoded_City1,Coordinates,Longitude,Latitude,City
"Albany, NY
(42.651242, -73.755418)","42.651242, -73.755418",42.651242,-73.755418,"Albany, NY"
"Albuquerque, NM
(35.084248, -106.649241)","35.084248, -106.649241",35.084248,-106.649241,"Albuquerque, NM"
"Allentown/Bethlehem/Easton, PA
(40.602753, -75.469759)","40.602753, -75.469759",40.602753,-75.469759,"Allentown/Bethlehem/Easton, PA"
"Amarillo, TX
(35.207009, -101.832013)","35.207009, -101.832013",35.207009,-101.832013,"Amarillo, TX"
"Asheville, NC
(35.595889, -82.550039)","35.595889, -82.550039",35.595889,-82.550039,"Asheville, NC"
"Aspen, CO
(39.190665, -106.819201)","39.190665, -106.819201",39.190665,-106.819201,"Aspen, CO"
"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","33.748547, -84.391502",33.748547,-84.391502,"Atlanta, GA (Metropolitan Area)"
"Atlantic City, NJ
(33.748547, -84.391502)","33.748547, -84.391502",33.748547,-84.391502,"Atlantic City, NJ"
"Augusta, GA
(33.472494, -81.964397)","33.472494, -81.964397",33.472494,-81.964397,"Augusta, GA"
"Austin, TX
(30.264979, -97.746598)","30.264979, -97.746598",30.264979,-97.746598,"Austin, TX"
"Bangor, ME
(44.801602, -68.771334)","44.801602, -68.771334",44.801602,-68.771334,"Bangor, ME"
"Baton Rouge, LA
(30.443319, -91.187488)","30.443319, -91.187488",30.443319,-91.187488,"Baton Rouge, LA"
"Bellingham, WA
(41.698264, -88.077915)","41.698264, -88.077915",41.698264,-88.077915,"Bellingham, WA"
"Bend/Redmond, OR
(29.721576, -99.071062)","29.721576, -99.071062",29.721576,-99.071062,"Bend/Redmond, OR"
"Billings, MT
(41.698264, -88.077915)","41.698264, -88.077915",41.698264,-88.077915,"Billings, MT"
"Birmingham, AL
(33.522859, -86.807705)","33.522859, -86.807705",33.522859,-86.807705,"Birmingham, AL"
"Bismarck/Mandan, ND
(46.80537, -100.781609)","46.80537, -100.781609",46.80537,-100.781609,"Bismarck/Mandan, ND"
"Bloomington/Normal, IL
(39.166587, -86.534893)","39.166587, -86.534893",39.166587,-86.534893,"Bloomington/Normal, IL"
"Boise, ID
(43.597772, -83.884521)","43.597772, -83.884521",43.597772,-83.884521,"Boise, ID"
"Boston, MA (Metropolitan Area)
(42.358894, -71.056742)","42.358894, -71.056742",42.358894,-71.056742,"Boston, MA (Metropolitan Area)"
"Bozeman, MT
(45.679294, -111.046611)","45.679294, -111.046611",45.679294,-111.046611,"Bozeman, MT"
"Buffalo, NY
(39.945422, -78.64671)","39.945422, -78.64671",39.945422,-78.64671,"Buffalo, NY"
"Bullhead City, AZ
(39.039856, -76.910021)","39.039856, -76.910021",39.039856,-76.910021,"Bullhead City, AZ"
"Burlington, VT
(44.475949, -73.212481)","44.475949, -73.212481",44.475949,-73.212481,"Burlington, VT"
"Cedar Rapids/Iowa City, IA
(41.978122, -91.669808)","41.978122, -91.669808",41.978122,-91.669808,"Cedar Rapids/Iowa City, IA"
"Charleston, SC
(32.77647, -79.931027)","32.77647, -79.931027",32.77647,-79.931027,"Charleston, SC"
"Charlotte, NC
(35.222936, -80.840161)","35.222936, -80.840161",35.222936,-80.840161,"Charlotte, NC"
"Chattanooga, TN
(35.045756, -85.308287)","35.045756, -85.308287",35.045756,-85.308287,"Chattanooga, TN"
"Chicago, IL
(41.775002, -87.696388)","41.775002, -87.696388",41.775002,-87.696388,"Chicago, IL"
"Cincinnati, OH
(39.104427, -84.513808)","39.104427, -84.513808",39.104427,-84.513808,"Cincinnati, OH"
"Cleveland, OH (Metropolitan Area)
(41.505546, -81.6915)","41.505546, -81.6915",41.505546,-81.6915,"Cleveland, OH (Metropolitan Area)"
"Colorado Springs, CO
(38.835224, -104.819798)","38.835224, -104.819798",38.835224,-104.819798,"Colorado Springs, CO"
"Columbia, SC
(39.962649, -82.996216)","39.962649, -82.996216",39.962649,-82.996216,"Columbia, SC"
"Columbus, OH
(39.962649, -82.996216)","39.962649, -82.996216",39.962649,-82.996216,"Columbus, OH"
"Concord, NC
(43.208452, -71.536941)","43.208452, -71.536941",43.208452,-71.536941,"Concord, NC"
"Corpus Christi, TX
(27.796416, -97.404131)","27.796416, -97.404131",27.796416,-97.404131,"Corpus Christi, TX"
"Dallas/Fort Worth, TX
(40.11086, -77.035636)","40.11086, -77.035636",40.11086,-77.035636,"Dallas/Fort Worth, TX"
"Dayton, OH
(39.760982, -84.192203)","39.760982, -84.192203",39.760982,-84.192203,"Dayton, OH"
"Daytona Beach, FL
(29.207056, -81.020739)","29.207056, -81.020739",29.207056,-81.020739,"Daytona Beach, FL"
"Denver, CO
(39.738453, -104.984853)","39.738453, -104.984853",39.738453,-104.984853,"Denver, CO"
"Des Moines, IA
(41.588822, -93.620309)","41.588822, -93.620309",41.588822,-93.620309,"Des Moines, IA"
"Detroit, MI
(42.332916, -83.047853)","42.332916, -83.047853",42.332916,-83.047853,"Detroit, MI"
"Eagle, CO
(38.8339, -120.040604)","38.8339, -120.040604",38.8339,-120.040604,"Eagle, CO"
"El Paso, TX
(31.76006, -106.492257)","31.76006, -106.492257",31.76006,-106.492257,"El Paso, TX"
"Eugene, OR
(37.533089, -75.823024)","37.533089, -75.823024",37.533089,-75.823024,"Eugene, OR"
"Eureka/Arcata, CA
(41.088577, -76.517301)","41.088577, -76.517301",41.088577,-76.517301,"Eureka/Arcata, CA"
"Evansville, IN
(37.975708, -87.569907)","37.975708, -87.569907",37.975708,-87.569907,"Evansville, IN"
"Fargo, ND
(36.731654, -119.785856)","36.731654, -119.785856",36.731654,-119.785856,"Fargo, ND"
"Fayetteville, AR
(36.061928, -94.160583)","36.061928, -94.160583",36.061928,-94.160583,"Fayetteville, AR"
"Flint, MI
(43.00992, -83.685109)","43.00992, -83.685109",43.00992,-83.685109,"Flint, MI"
"Fort Collins/Loveland, CO
(40.588972, -105.082459)","40.588972, -105.082459",40.588972,-105.082459,"Fort Collins/Loveland, CO"
"Fort Myers, FL
(40.253979, -103.801495)","40.253979, -103.801495",40.253979,-103.801495,"Fort Myers, FL"
"Fort Wayne, IN
(41.331128, -73.987189)","41.331128, -73.987189",41.331128,-73.987189,"Fort Wayne, IN"
"Fresno, CA
(36.731654, -119.785856)","36.731654, -119.785856",36.731654,-119.785856,"Fresno, CA"
