"Year","depart","land","lat1","lon1","state.x","lat2","lon2","state.y"
2010,"SLC","TPA",40.788389,-111.977772,"Utah",27.975472,-82.53325,"Florida"
1998,"COS","HPN",38.805805,-104.700778,"Colorado",41.066959,-73.707575,"New York"
1998,"PIT","BWI",40.491467,-80.232872,"Pennsylvania",39.175361,-76.668333,"Maryland"
2009,"LAS","SNA",36.080056,-115.15225,"Nevada",33.675667,-117.868222,"California"
1993,"HSV","IAD",34.6371944,-86.7750556,"Alabama",38.944533,-77.455811,"Virginia"
2010,"MCI","SNA",39.297606,-94.713905,"Missouri",33.675667,-117.868222,"California"
2007,"ORD","MSY",41.978603,-87.904842,"Illinois",29.993389,-90.258028,"Louisiana"
2003,"ALB","MDW",42.748267,-73.801692,"New York",41.785972,-87.752417,"Illinois"
2005,"PVD","BUF",41.732581,-71.420383,"Rhode Island",42.940525,-78.732167,"New York"
2014,"MIA","ROC",25.79325,-80.290556,"Florida",43.118866,-77.672389,"New York"
2001,"BNA","LGA",36.124472,-86.678194,"Tennessee",40.777245,-73.872608,"New York"
1993,"IAH","OAK",29.984433,-95.341442,"Texas",37.721278,-122.220722,"California"
1998,"DAL","RNO",32.847111,-96.851778,"Texas",39.499108,-119.768108,"Nevada"
2002,"PVD","BUR",41.732581,-71.420383,"Rhode Island",34.200667,-118.358667,"California"
2007,"ELP","IAH",31.80725,-106.377583,"Texas",29.984433,-95.341442,"Texas"
2014,"LGA","SYR",40.777245,-73.872608,"New York",43.111187,-76.106311,"New York"
2014,"ALB","FLL",42.748267,-73.801692,"New York",26.072583,-80.15275,"Florida"
2002,"IAH","FLL",29.984433,-95.341442,"Texas",26.072583,-80.15275,"Florida"
2010,"CLT","LGA",35.214,-80.943139,"North Carolina",40.777245,-73.872608,"New York"
2003,"MHT","MDW",42.932556,-71.435667,"New Hampshire",41.785972,-87.752417,"Illinois"
2003,"LGA","RIC",40.777245,-73.872608,"New York",37.505167,-77.319667,"Virginia"
2003,"ISP","STL",40.79525,-73.100222,"New York",38.748697,-90.370028,"Missouri"
2011,"CHS","IAD",32.898647,-80.040528,"South Carolina",38.944533,-77.455811,"Virginia"
2012,"GSO","ISP",36.09775,-79.937306,"North Carolina",40.79525,-73.100222,"New York"
2005,"OKC","OAK",35.393089,-97.600733,"Oklahoma",37.721278,-122.220722,"California"
2001,"ORD","OAK",41.978603,-87.904842,"Illinois",37.721278,-122.220722,"California"
2013,"MDW","ICT",41.785972,-87.752417,"Illinois",37.649944,-97.433056,"Kansas"
2013,"CLE","RDU",41.411689,-81.849794,"Ohio",35.877639,-78.787472,"North Carolina"
1997,"CAK","SAN",40.9160833,-81.4421944,"Ohio",32.733556,-117.189667,"California"
2007,"BDL","BWI",41.938889,-72.683222,"Connecticut",39.175361,-76.668333,"Maryland"
2003,"SWF","MCO",41.504094,-74.104839,"New York",28.429394,-81.308994,"Florida"
2006,"DAL","TPA",32.847111,-96.851778,"Texas",27.975472,-82.53325,"Florida"
2014,"SYR","TPA",43.111187,-76.106311,"New York",27.975472,-82.53325,"Florida"
2013,"GSP","IAH",34.895556,-82.218889,"South Carolina",29.984433,-95.341442,"Texas"
1993,"MIA","TPA",25.79325,-80.290556,"Florida",27.975472,-82.53325,"Florida"
2010,"DFW","ORF",32.896828,-97.037997,"Texas",36.894611,-76.201222,"Virginia"
2012,"LAX","TUS",33.942536,-118.408075,"California",32.116083,-110.941028,"Arizona"
1997,"CMH","LGA",39.997972,-82.891889,"Ohio",40.777245,-73.872608,"New York"
2007,"BOS","LAS",42.364347,-71.005181,"Massachusetts",36.080056,-115.15225,"Nevada"
1993,"BHM","LGB",33.562942,-86.75355,"Alabama",33.817722,-118.151611,"California"
2005,"BWI","PBI",39.175361,-76.668333,"Maryland",26.683161,-80.095589,"Florida"
2005,"SNA","ROC",33.675667,-117.868222,"California",43.118866,-77.672389,"New York"
2013,"CAK","ONT",40.9160833,-81.4421944,"Ohio",34.056,-117.601194,"California"
2002,"ONT","JFK",34.056,-117.601194,"California",40.639751,-73.778925,"New York"
2003,"OAK","GEG",37.721278,-122.220722,"California",47.619861,-117.533833,"Washington"
2011,"SMF","BWI",38.695417,-121.590778,"California",39.175361,-76.668333,"Maryland"
2003,"BHM","BWI",33.562942,-86.75355,"Alabama",39.175361,-76.668333,"Maryland"
1993,"SWF","RIC",41.504094,-74.104839,"New York",37.505167,-77.319667,"Virginia"
2007,"ATL","LGA",33.636719,-84.428067,"Georgia",40.777245,-73.872608,"New York"
2001,"SWF","OAK",41.504094,-74.104839,"New York",37.721278,-122.220722,"California"
1999,"MDW","TUS",41.785972,-87.752417,"Illinois",32.116083,-110.941028,"Arizona"
2010,"BNA","JFK",36.124472,-86.678194,"Tennessee",40.639751,-73.778925,"New York"
2007,"MCI","ISP",39.297606,-94.713905,"Missouri",40.79525,-73.100222,"New York"
2010,"MSY","HPN",29.993389,-90.258028,"Louisiana",41.066959,-73.707575,"New York"
1996,"SNA","SLC",33.675667,-117.868222,"California",40.788389,-111.977772,"Utah"
2005,"HOU","PHX",29.645419,-95.278889,"Texas",33.434278,-112.011583,"Arizona"
2005,"MKE","EWR",42.947222,-87.896583,"Wisconsin",40.6925,-74.168667,"New Jersey"
2009,"PHX","SMF",33.434278,-112.011583,"Arizona",38.695417,-121.590778,"California"
1993,"SAN","DCA",32.733556,-117.189667,"California",38.852083,-77.037722,"District of Columbia"
1998,"ATL","JFK",33.636719,-84.428067,"Georgia",40.639751,-73.778925,"New York"
2003,"MHT","JAX",42.932556,-71.435667,"New Hampshire",30.494056,-81.687861,"Florida"
2001,"ALB","MIA",42.748267,-73.801692,"New York",25.79325,-80.290556,"Florida"
2005,"MHT","PHL",42.932556,-71.435667,"New Hampshire",39.871944,-75.241139,"Pennsylvania"
2002,"MSY","SWF",29.993389,-90.258028,"Louisiana",41.504094,-74.104839,"New York"
1993,"FLL","ORF",26.072583,-80.15275,"Florida",36.894611,-76.201222,"Virginia"
1997,"PDX","SFO",45.588722,-122.5975,"Oregon",37.618972,-122.374889,"California"
2014,"DAY","SNA",39.902375,-84.219375,"Ohio",33.675667,-117.868222,"California"
2003,"CMH","IAH",39.997972,-82.891889,"Ohio",29.984433,-95.341442,"Texas"
2012,"BUR","PDX",34.200667,-118.358667,"California",45.588722,-122.5975,"Oregon"
2004,"CAK","SFO",40.9160833,-81.4421944,"Ohio",37.618972,-122.374889,"California"
2014,"HPN","SAV",41.066959,-73.707575,"New York",32.127583,-81.202139,"Georgia"
1998,"MDW","PHX",41.785972,-87.752417,"Illinois",33.434278,-112.011583,"Arizona"
2006,"PVD","LGA",41.732581,-71.420383,"Rhode Island",40.777245,-73.872608,"New York"
2006,"DAL","DSM",32.847111,-96.851778,"Texas",41.533972,-93.663083,"Iowa"
2000,"LAS","BWI",36.080056,-115.15225,"Nevada",39.175361,-76.668333,"Maryland"
