"port","name","lat","lon","state"
"ABQ","Albuquerque International Sunport",35.0402222,-106.6091944,"New Mexico"
"ACK","Nantucket Mem",41.253053,-70.060181,"Massachusetts"
"ACY","Atlantic City Intl",39.457583,-74.577167,"New Jersey"
"ALB","Albany Intl",42.748267,-73.801692,"New York"
"AMA","Rick Husband Amarillo Intl",35.219369,-101.705931,"Texas"
"ATL","Hartsfield Jackson Atlanta Intl",33.636719,-84.428067,"Georgia"
"AUS","Austin Bergstrom Intl",30.194528,-97.669889,"Texas"
"AVL","Asheville Regional Airport",35.436194,-82.541806,"North Carolina"
"AZA","Phoenix-Mesa Gateway",33.307833,-111.655,"Arizona"
"BDL","Bradley Intl",41.938889,-72.683222,"Connecticut"
"BGR","Bangor Intl",44.807444,-68.828139,"Maine"
"BHM","Birmingham Intl",33.562942,-86.75355,"Alabama"
"BLI","Bellingham Intl",48.792694,-122.537528,"Washington"
"BNA","Nashville Intl",36.124472,-86.678194,"Tennessee"
"BOI","Boise Air Terminal",43.564361,-116.222861,"Idaho"
"IAH","George Bush Intercontinental",29.984433,-95.341442,"Texas"
"BOS","General Edward Lawrence Logan Intl",42.364347,-71.005181,"Massachusetts"
"BTV","Burlington Intl",44.471861,-73.153278,"Vermont"
"BUF","Buffalo Niagara Intl",42.940525,-78.732167,"New York"
"BUR","Bob Hope",34.200667,-118.358667,"California"
"BZN","Gallatin Field",45.777643,-111.160151,"Montana"
"BWI","Baltimore Washington Intl",39.175361,-76.668333,"Maryland"
"CAE","Columbia Metropolitan",33.938833,-81.119528,"South Carolina"
"CAK","Akron Canton Regional Airport",40.9160833,-81.4421944,"Ohio"
"CHS","Charleston Afb Intl",32.898647,-80.040528,"South Carolina"
"CLE","Cleveland Hopkins Intl",41.411689,-81.849794,"Ohio"
"MDW","Chicago Midway Intl",41.785972,-87.752417,"Illinois"
"CLT","Charlotte Douglas Intl",35.214,-80.943139,"North Carolina"
"CMH","Port Columbus Intl",39.997972,-82.891889,"Ohio"
"COS","City Of Colorado Springs Muni",38.805805,-104.700778,"Colorado"
"CRP","Corpus Christi Intl",27.770361,-97.501222,"Texas"
"CVG","Cincinnati Northern Kentucky Intl",39.048836,-84.667822,"Kentucky"
"DAL","Dallas Love Fld",32.847111,-96.851778,"Texas"
"ORD","Chicago Ohare Intl",41.978603,-87.904842,"Illinois"
"DAY","James M Cox Dayton Intl",39.902375,-84.219375,"Ohio"
"DCA","Ronald Reagan Washington Natl",38.852083,-77.037722,"District of Columbia"
"DEN","Denver Intl",39.861656,-104.673178,"Colorado"
"PHX","Phoenix Sky Harbor Intl",33.434278,-112.011583,"Arizona"
"DFW","Dallas Fort Worth Intl",32.896828,-97.037997,"Texas"
"DSM","Des Moines Intl",41.533972,-93.663083,"Iowa"
"DTW","Detroit Metro Wayne Co",42.212444,-83.353389,"Michigan"
"ELP","El Paso Intl",31.80725,-106.377583,"Texas"
"HOU","William P Hobby",29.645419,-95.278889,"Texas"
"EUG","Mahlon Sweet Fld",44.124583,-123.211972,"Oregon"
"EWR","Newark Liberty Intl",40.6925,-74.168667,"New Jersey"
"FCA","Glacier Park Intl",48.310472,-114.256,"Montana"
"FLL","Fort Lauderdale Hollywood Intl",26.072583,-80.15275,"Florida"
"GRR","Gerald R Ford Intl",42.880833,-85.522806,"Michigan"
"GSO","Piedmont Triad",36.09775,-79.937306,"North Carolina"
"GSP","Greenville-Spartanburg International",34.895556,-82.218889,"South Carolina"
"HPN","Westchester Co",41.066959,-73.707575,"New York"
